"Set","Keyword","image1","image2","image3","image4"
34,"popsicles","stimuli_exp1_jpg\\34a.jpg","stimuli_exp1_jpg\\34b.jpg","stimuli_exp1_jpg\\34c.jpg","stimuli_exp1_jpg\\34d.jpg"
42,"kites","stimuli_exp1_jpg\\42a.jpg","stimuli_exp1_jpg\\42b.jpg","stimuli_exp1_jpg\\42c.jpg","stimuli_exp1_jpg\\42d.jpg"
2,"lemons","stimuli_exp1_jpg\\2a.jpg","stimuli_exp1_jpg\\2b.jpg","stimuli_exp1_jpg\\2c.jpg","stimuli_exp1_jpg\\2d.jpg"
10,"ship","stimuli_exp1_jpg\\10a.jpg","stimuli_exp1_jpg\\10b.jpg","stimuli_exp1_jpg\\10c.jpg","stimuli_exp1_jpg\\10d.jpg"
26,"phone","stimuli_exp1_jpg\\26a.jpg","stimuli_exp1_jpg\\26b.jpg","stimuli_exp1_jpg\\26c.jpg","stimuli_exp1_jpg\\26d.jpg"
27,"chicken","stimuli_exp1_jpg\\27a.jpg","stimuli_exp1_jpg\\27b.jpg","stimuli_exp1_jpg\\27c.jpg","stimuli_exp1_jpg\\27d.jpg"
40,"sands","stimuli_exp1_jpg\\40a.jpg","stimuli_exp1_jpg\\40b.jpg","stimuli_exp1_jpg\\40c.jpg","stimuli_exp1_jpg\\40d.jpg"
15,"cats_basking","stimuli_exp1_jpg\\15a.jpg","stimuli_exp1_jpg\\15b.jpg","stimuli_exp1_jpg\\15c.jpg","stimuli_exp1_jpg\\15d.jpg"
3,"kids_porch","stimuli_exp1_jpg\\3a.jpg","stimuli_exp1_jpg\\3b.jpg","stimuli_exp1_jpg\\3c.jpg","stimuli_exp1_jpg\\3d.jpg"
47,"fishing_rode","stimuli_exp1_jpg\\47a.jpg","stimuli_exp1_jpg\\47b.jpg","stimuli_exp1_jpg\\47c.jpg","stimuli_exp1_jpg\\47d.jpg"
